"school","course","class","gender","ethnic","major","grands","parents","version","MQ1","MQ2","MQ3","MQ4","MQ5","MQ6","MQ7","MQ8","MQ9","MQ10","MQ11","MQ12","MQ13","MQ14","MQ15","MQ16","MQ17","MQ18","MQ19","MQ20","must","pass","old_must","mult","div","frac","log_exp","chem"
"UNT",85.1,"SO","1","White","med","Y","Y","78",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,1,0,1,0,0
"UNT",29.7,"SO","1","Mixed","stem","N","Y","78",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0
"UNT",67.7,"FR","0","Hisp","med","N","N","78",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,0,0,0,1
"UNT",73.9,"FR","1","Hisp","stem","N","N","78",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,1,0,0
"UNT",68,"JR","1","White","med","Other","Y","87",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0
"UNT",61.6,"SO","0","Mixed","stem","Y","Y","87",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,2,0,0,1,0,1
"UNT",36.1,"FR","0","Hisp","stem","N","N","78",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,0,0
"UNT",35.8,"FR","0","Mixed","stem","Other","Other","78",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0
"UNT",74.1,"FR","0","Asian","stem","N","N","87",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,2,0,0
"UNT",85.1,"SO","0","Black","stem","Other","N","78",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,1,1,0,0
"UNT",42.6,"FR","0","White","stem","N","Y","87",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0
"UNT",62.3,"SO","1","Asian","stem","N","N","87",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,1,0
"UNT",52.3,"SO","0","Black","stem","Other","Y","78",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,1,1,0
"UNT",73.4,"FR","0","Mixed","stem","N","N","87",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,1,1,0
"UNT",67.4,"SO","1","Hisp","other","N","Y","78",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,0,0,0,1
"UTXW",71.9,"FR","1","Hisp","other","Y","Y","87",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,1,0,0,1
"UTXW",90.2,"FR","0","Hisp","med","N","N","78",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,0,0,0,0,2
"UTXW",65.2,"FR","0","Hisp","med","N","N","87",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,2
"ACUP",56.3,"SO","1","Hisp","stem","N","N","78",0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,1,1,1,0
"ACUP",42.8,"FR","0","Black","med","N","Y","87",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,3,1,0,1,0,1
"TAMSA",15.5,"JR","0","Hisp","stem","N","N","87",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,3,1,0,1,0,1
"TAMSA",43.2,"JR","0","Hisp","stem","N","N","78",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,2,0,1,0,0
"TAMSA",54,"FR","1","Hisp","med","N","Y","78",0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,2,0,0,0
"TAMSA",86,"SR","1","Black","med","N","N","87",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,1,2,1,0,1,1,0
"TAMU",74.7,"SO","1","White","stem","Y","Y","87",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,1,2,0,0,0
"TAMU",56.5,"SO","0","White","other","N","N","78",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,2,0,0,1,0,2
"TAMU",74,"FR","0","Hisp","med","N","N","87",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,2,1,1,0,1,0
"TAMU",62.6,"FR","0","Hisp","stem","N","N","78",0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,3,1,0,0,1,1
"TAMU",75.6,"SO","1","Hisp","med","N","N","78",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,1,2,1,1,0,1,0
"TSU",82,"SO","0","White","stem","Y","Y","78",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,1,3,1,0,1,0,1
"TSU",72.3,"JR","0","Mixed","stem","Y","Y","78",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,1,1,0,1,0
"TSU",66,"JR","1","Hisp","stem","Y","Y","87",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,1,0,1,1,1,0
"TSU",69.2,"FR","1","Other","stem","N","Y","87",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,2,0,1,0,0
"TSU",95.2,"FR","0","Mixed","stem","Other","Y","78",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,1,2,1,0,2,0,0
"UNT",70.2,"SO","1","Other","stem","Y","Y","78",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,2,1,0,1,1,0
"UNT",83.5,"PB","0","White","med","Y","Y","78",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,3,1,2,0,0,3,0,0
"UNT",60.4,"SO","1","White","stem","Other","Y","78",0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,2,1,0
"UNT",55.2,"FR","1","Hisp","stem","N","N","87",0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,2,0,1,0
"UNT",74.8,"JR","0","White","med","Y","Y","87",1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,3,1,1,1,0,0
"UNT",81.8,"FR","0","Black","med","N","N","78",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,3,1,0,2,0,0
"UNT",76.7,"FR","1","Mixed","med","Y","Y","87",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,2,1,0,1,1,0
"UNT",25,"JR","0","Mixed","stem","N","N","87",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,2,1,0,1,0,1
"UNT",87.3,"FR","0","White","med","N","Y","78",0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1,3,0,1,2,0,0
"UNT",45.6,"FR","1","Black","med","Other","Y","87",1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,3,1,1,1,0,0
"UNT",96.6,"SO","1","White","stem","Y","Y","78",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3,1,2,0,0,1,0,2
"UNT",66.1,"PB","1","White","med","Y","Y","78",0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,3,0,0,0,3,0
"UNT",69.8,"FR","0","Mixed","stem","N","Y","87",1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,2,1,1,0,1,0
"UNT",27,"FR","1","Mixed","stem","Y","Y","78",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,1,0,1,1,0,1
"UNT",68.7,"SO","0","White","dual","Other","N","87",0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,2,0,1,1,0,1
"UNT",79.8,"FR","0","Other","stem","Y","Y","87",0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,1,3,0,0,0,1,2
"UNT",81.1,"SO","1","Hisp","stem","Y","Y","78",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,3,1,2,0,0,3,0,0
"UTXW",93.1,"FR","0","Black","med","Y","Y","78",0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,1,0,2,1,0,0
