school,letter,course,class,gender,ethnic,major,tx_hs,grands,parents,emp_on,emp_off,version,MQ1,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ10,MQ11,MQ12,MQ13,MQ14,MQ15,MQ16,MQ17,MQ18,MQ19,MQ20,must
UNT,W,NA,SO,1,"Black,NatAm",a. Eng,Y,DK,Y,N,N,87,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
UNT,W,NA,FR,0,White,b,Y,N,Y,N,N,78,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2
UNT,W,NA,JR,0,Hisp,a. Eng,Y,N,Y,N,N,87,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
UNT,F,46.4,JR,,White,b,Y,Y,N,N,N,78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
UNT,B,85.1,SO,1,White,b,Y,Y,Y,N,N,78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
UNT,I,29.7,SO,1,"White,Asian",a. Tech,Y,N,Y,N,N,78,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
UNT,D,67.7,FR,0,Hisp,b,Y,N,N,N,N,78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
UNT,C,73.9,FR,1,Hisp,a. Eng,Y,N,N,N,Y,78,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
UNT,D,68,JR,1,White,b,Y,DK,Y,N,Y,87,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
UNT,D,61.6,SO,0,"White,Black",a. Sci,Y,Y,Y,N,N,87,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2
UNT,F,36.1,FR,0,Hisp,a. Sci,Y,N,N,N,Y,78,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
UNT,F,35.8,FR,0,"Black,Hisp",a. Sci,Y,DK,DK,N,N,78,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
UNT,F,NA,FR,1,Hisp,a. Sci,Y,N,N,N,N,78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
UNT,C,74.1,FR,0,Asian,a. Sci,Y,N,N,N,Y,87,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
UNT,B,85.1,SO,0,Black,a. Sci,Y,DK,N,N,Y,78,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
UNT,F,42.6,FR,0,White,a. Sci,Y,N,Y,N,Y,87,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
UNT,D,62.3,SO,1,Asian,a. Sci,Y,N,N,N,Y,87,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
UNT,F,52.3,SO,0,Black,a. Sci,Y,DK,Y,N,N,78,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
UNT,C,73.4,FR,0,"Hisp,Black",a. Sci,Y,N,N,N,N,87,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
UNT,C,67.4,SP,1,Hisp,c,Y,N,Y,N,Y,78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
UTXW,C,71.9,FR,1,Hisp,c,Y,Y,Y,N,N,87,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
UTXW,A,90.2,FR,0,Hisp,b,Y,N,N,N,N,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
UTXW,D,65.2,FR,0,Hisp,b,Y,N,N,N,N,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
ACUP,F,56.3,SO,1,Hisp,a. Sci,Y,N,N,N,N,78,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
ACUP,F,42.8,FR,0,Black,b,Y,N,Y,N,N,87,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3
TAMSA,F,15.5,JR,0,Hisp,a. Sci,Y,N,N,N,Y,87,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3
TAMSA,F,43.2,JR,0,Hisp,a. Sci,Y,N,N,N,Y,78,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
