"course_avg","school","class","gender","ethnicity","parent","grand","hrs_work","emp_on","emp_off","tx_birth","tx_hs","version","must"
70.7,"ACUP","FR","0","White","Y","Y","0","N","N","Y","Y","v78",6
92.5,"ACUP","FR","1","White","Y","Other","0","N","N","Y","Y","v78",14
71.1,"ACUP","FR","1","Black","N","Y","0","N","N","Y","Y","v87",8
92.9,"ACUP","FR","1","White","Y","N","0","N","N","Y","Y","v78",14
81,"ACUP","SO","0","White","Y","Y","0","N","N","Y","Y","v87",6
95.3,"ACUP","FR","1","Other","Y","Y","0","N","N","Y","Y","v78",7
92,"ACUP","SO","1","White","Y","Y","0","N","N","Y","Y","v87",4
62.2,"TAMSA","FR","0","Hisp","Y","N","0","N","N","Y","Y","v87",0
44.2,"TAMSA","SO","1","White","Y","Other","11-19","N","Y","Y","Y","v78",1
76.7,"TAMSA","JR","0","Black","Y","Other","0","N","N","Y","Y","v78",1
71.6,"TAMSA","SO","0","Hisp","Y","N","11-19","Y","N","Y","Y","v87",0
68.1,"TAMSA","SO","0","Hisp","Other","N","0","N","N","N","N","v87",7
74.1,"TAMSA","JR","1","Hisp","Y","N","30-39","N","Y","N","Y","v78",2
57.4,"TAMSA","SO","0","Hisp","Y","Y","11-19","Y","N","Y","Y","v78",5
46.1,"TAMSA","JR","0","White","Y","Y","20-29","N","Y","N","Y","v78",0
72.3,"TAMSA","SO","0","Hisp","N","N","0","N","N","Y","Y","v87",0
46.2,"TAMSA","SO","1","Hisp","Y","Y","0","N","N","Y","Y","v78",8
43.2,"TAMSA","JR","0","Hisp","N","N","30-39","N","Y","Y","Y","v78",3
56.4,"TAMSA","SO","0","Hisp","N","N","0","N","N","Y","Y","v87",7
66.6,"TAMSA","JR","1","White","Y","N","0","N","N","N","Y","v78",7
68.3,"TAMSA","JR","0","Hisp","N","N","30-39","N","Y","N","Y","v87",2
38.1,"TAMSA","JR","0","Hisp","N","N","0","N","N","N","Y","v87",2
47.8,"TAMSA","SO","1","Black","Y","Other","20-29","N","Y","Y","Y","v87",1
64.3,"TAMSA","SO","1","Hisp","Y","N","30-39","N","Y","N","N","v78",1
31.3,"TAMSA","JR","0","Hisp","N","N","30-39","N","Y","Y","Y","v78",0
47.8,"TAMSA","SO","0","Mixed","Y","N","11-19","N","Y","Y","Y","v87",2
65,"TAMSA","SO","1","Hisp","N","N","0","N","N","Y","Y","v87",1
66,"TAMSA","SO","0","Hisp","N","N","0","N","N","Y","N","v87",2
34,"TAMSA","FR","0","Hisp","Y","N","0","N","N","Y","Y","v87",1
67,"TAMSA","JR","0","White","Y","Y","30-39","N","Y","Y","Y","v87",2
76,"TAMSA","JR","0","Hisp","Y","N","30-39","N","Y","N","Y","v87",7
80,"TAMSA","JR","0","Black","N","N","30-39","N","Y","N","N","v78",4
85,"TAMSA","SO","0","Hisp","N","N","20-29","Y","N","Y","Y","v87",2
70,"TAMSA","SO","0","Hisp","N","Other","0","Y","N","Y","Y","v78",10
74,"TAMSA","JR","0","Hisp","N","N","0","N","N","Y","Y","v87",4
94,"TAMSA","FR","0","Mixed","N","N","0","N","N","Y","Y","v87",8
109,"TAMSA","FR","1","White","N","N","0","N","N","Y","Y","v78",14
54,"TAMSA","FR","1","Hisp","Y","N","20-29","N","Y","Y","Y","v78",3
72,"TAMSA","JR","0","White","N","Other","1-10","N","Y","N","N","v78",9
90,"TAMSA","JR","0","Hisp","N","N","30-39","N","Y","N","Y","v78",9
48,"TAMSA","JR","1","Hisp","N","Other","30-39","N","Y","N","Y","v87",4
89,"TAMSA","SO","1","Hisp","Y","N","11-19","N","Y","Y","Y","v87",1
55,"TAMSA","SO","0","Hisp","Y","Y","1-10","N","Y","Y","Y","v78",1
74,"TAMSA","SO","0","Hisp","N","N","20-29","N","Y","Y","Y","v78",8
86,"TAMSA","SR","1","Black","N","N","30-39","N","Y","Y","Y","v87",3
96.1,"TAMU","SO","0","White","Y","Y","0","N","N","Y","Y","v78",4
46.6,"TAMU","FR","0","Hisp","N","N","0","N","N","Y","Y","v87",2
86.8,"TAMU","FR","1","Mixed","Y","Other","0","N","N","Y","Y","v87",16
91,"TAMU","FR","0","White","Y","Y","0","N","N","Y","Y","v87",15
93.2,"TAMU","FR","1","White","Y","N","0","N","N","Y","Y","v78",17
92.6,"TAMU","FR","0","White","Y","Y","0","N","N","Y","Y","v87",16
66.3,"TAMU","FR","0","Hisp","Y","N","0","N","N","Y","Y","v87",5
57.2,"TAMU","FR","0","White","Y","Other","1-10","N","Y","Y","Y","v78",7
66.7,"TAMU","FR","0","Hisp","N","N","0","N","N","Y","Y","v87",11
86.7,"TAMU","FR","1","White","Y","N","0","N","N","Y","Y","v87",12
51.2,"TAMU","SO","1","Black","Y","Y","11-19","Y","N","Y","N","v78",2
91.7,"TAMU","FR","0","Black","Y","Y","0","N","N","Y","Y","v78",15
63.7,"TAMU","FR","0","Hisp","Y","N","0","N","N","Y","Y","v78",4
82.4,"TAMU","FR","1","Hisp","N","Y","1-10","Y","N","Y","Y","v78",16
70.7,"TAMU","FR","0","White","Y","N","0","N","N","Y","Y","v87",8
73.8,"TAMU","FR","0","Hisp","Y","Y","0","N","N","Y","N","v87",9
94.5,"TAMU","FR","0","White","Y","Y","0","N","N","Y","Y","v78",10
87.3,"TAMU","FR","0","White","Y","Other","0","N","N","Y","Y","v87",14
89.4,"TAMU","FR","1","White","Y","Y","0","N","N","Y","Y","v87",19
87.8,"TAMU","FR","0","White","Y","Other","20-29","N","Y","Y","Y","v78",17
79.1,"TAMU","FR","1","White","N","N","0","N","N","Y","Y","v87",13
79.2,"TAMU","SO","0","White","N","Other","0","N","N","Y","Y","v78",11
89.5,"TAMU","FR","0","White","Y","Y","0","N","N","Y","Y","v87",10
68.9,"TAMU","FR","0","Black","Y","Y","0","N","N","N","Y","v87",7
66.6,"TAMU","FR","0","White","Y","Y","0","N","N","Y","Y","v78",11
89.4,"TAMU","SO","0","White","Y","Y","0","N","N","Y","Y","v87",17
81.8,"TAMU","FR","0","White","Y","Y","0","N","N","Y","Y","v87",14
67.7,"TAMU","FR","0","Mixed","Y","N","20-29","Y","N","Y","N","v78",14
88,"TAMU","FR","0","White","Y","Y","0","N","N","Y","Y","v78",15
79.3,"TAMU","FR","1","White","Y","Y","0","N","N","Y","Y","v78",11
