school,course,class,gender,ethnic,major,grand,parent,emp_on,emp_off,hrs,ver,MQ1,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ10,MQ11,MQ12,MQ13,MQ14,MQ15,MQ16,MQ17,MQ18,MQ19,MQ20,must,Q1A,Q1C,Q2A,Q2C,Q3A,Q3C,Q4A,Q4C,Q5A,Q5C,Q6A,Q6C,comm
ACUPF17CHI030,91.6,FR,0,White,b,Y,Y,N,N,0,87,0,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,11,1,0,1,1,1,0,1,1,0,1,1,1,9
ACUPF17CHI033,72.4,SO,0,White,b,Y,Y,N,N,0,87,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,7,1,1,1,0,1,0,1,0,0,0,1,1,7
ACUPF17CHI051,94.6,FR,0,White,b,Y,Y,N,N,0,78,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,14,1,1,1,1,1,0,1,0,1,1,1,1,10
ACUPF17CHI052,92.8,SO,0,White,a. Sci,Y,Y,N,N,0,78,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,4,1,1,1,0,0,0,1,0,1,1,1,1,8
ACUPF17CHI056,87.16,FR,0,White,a. Sci,Y,Y,N,N,0,78,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,1,1,14,1,0,1,1,1,0,1,1,1,1,1,1,10
ACUPF17CHI057,85.75,FR,0,White,b,Y,Y,N,N,0,87,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,17,1,1,1,1,1,0,1,1,1,1,1,0,10
ACUPF17CHI058,95.2,FR,0,White,b,Y,Y,N,N,0,78,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,1,1,15,1,1,1,1,1,1,1,0,1,1,1,1,11
ACUPF17CHI061,85.35,FR,0,White,b,Y,Y,N,N,0,87,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,9,1,1,1,0,1,0,1,0,0,1,1,1,8
ACUPF17CHI062,70.8,FR,0,Hispanic,c,Y,Y,N,N,0,78,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,5
ACUPF17CHI066,77.5,FR,0,White,b,Y,Y,N,N,0,87,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,13,1,1,1,1,1,0,1,0,1,0,1,1,9
ACUPF17CHI068,85.1,SO,0,White,b,Y,Y,N,N,0,78,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,10,1,1,1,0,1,0,1,0,1,1,0,0,7
