"school","course","class","gender","ethnic","major","grand","parent","emp_on","emp_off","hrs","ver","MQ1","MQ2","MQ3","MQ4","MQ5","MQ6","MQ7","MQ8","MQ9","MQ10","MQ11","MQ12","MQ13","MQ14","MQ15","MQ16","MQ17","MQ18","MQ19","MQ20","must"
"ACUP",70.7,"FR",0,"White","b","Y","Y","N","N","0",78,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,6
"ACUP",80.95,"SO",0,"White","b","Y","Y","N","N","0",87,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,6
"UNT",61.94966059,"SO",0,"White","c","Y","Y","N","N","0",78,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,1,9
"UTXW",94.5,"FR",0,"White","a. Sci","Y","Y","N","N","0",87,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,7
"UTXW",78.8,"FR",0,"Mixed","a. Sci","Y","Y","N","N","0",87,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,0,1,0,11
"UTXW",71.1,"FR",0,"Hispanic","b","Y","Y","N","N","0",78,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,6
"UTXW",93.1,"FR",0,"Black","b","Y","Y","N","N","0",78,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
"UTXW",71.9,"FR",0,"White","b","Y","Y","N","N","0",78,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
"UTXW",91.8,"FR",0,"White","a. Sci","Y","Y","N","N","0",87,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,10
"UTXW",92.3,"FR",0,"White","c","Y","Y","N","N","0",87,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1,15
"UTXW",79.9,"FR",0,"Black","b","Y","Y","N","N","0",87,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4
"UTXW",79.3,"FR",0,"White","b","Y","Y","N","N","0",78,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,7
"UTXW",94.1,"FR",0,"Hispanic","b","Y","Y","N","N","0",87,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,17
"UTXW",70.6,"FR",0,"Hispanic","a. Sci","Y","Y","N","N","0",78,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,7
