school,course,class,gender,ethnic,major,zip,grand,parent,emp_on,emp_off,hrs,ver,MQ1,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ10,MQ11,MQ12,MQ13,MQ14,MQ15,MQ16,MQ17,MQ18,MQ19,MQ20,must,Q1A,Q1c,Q2A,Q2C,Q3A,Q3C,Q4A,Q4C,Q5A,Q5C,Q6A,Q6C,comm
ACUPF17CHI060,81.0,FR,1,Asian,b,79,N,Y,N,N,0,87,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,5,1,1,1,1,0,0,1,0,1,1,1,1,9
ACUPF17CHI061,85.4,FR,0,White,b,76,Y,Y,N,N,0,87,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,9,1,1,1,0,1,0,1,0,0,1,1,1,8
ACUPF17CHI062,70.8,FR,0,Hisp,c,78,Y,Y,N,N,0,78,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,5
ACUPF17CHI063,95.5,SO,1,White,b,75,N ,Y,N,N,0,87,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,1,12,1,1,1,1,1,0,1,1,1,1,1,0,10
ACUPF17CHI064,86.7,FR,1,White,a. Eng,75,DK,Y,N,N,0,78,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,15,1,1,0,1,1,1,1,1,1,1,1,1,11
ACUPF17CHI065,78.0,SO,1,White,b,78,Y,Y,N,N,0,87,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,7,1,1,1,1,0,0,1,1,1,1,1,1,10
ACUPF17CHI066,77.5,FR,0,White,b,75,Y,Y,N,N,0,87,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,13,1,1,1,1,1,0,1,0,1,0,1,1,9
ACUPF17CHI067,45.8,FR,1,Hisp,b,78,DK,DK,Y,N,11-19,87,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,4,1,1,1,1,0,0,1,0,1,1,1,0,8
ACUPF17CHI068,85.1,SO,0,White,b,75,Y,Y,N,N,0,78,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,10,1,1,1,0,1,0,1,0,1,1,0,0,7
ACUPF17CHI069,70.2,SO ,0,Hisp,b,78,DK,Y,N,N,0,87,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,1,3
ACUPF17CHI070,72.4,SO,1,White,,76,N,N,N,N,0,78,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,13,1,1,1,1,0,0,1,1,1,1,1,1,10
ACUPF17CHI071,76.8,SO,1,White,a. Eng,77,Y,Y,N,N,0,78,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,11,1,1,0,1,1,0,1,1,1,0,1,1,9
ACUPF17CHI072,94.5,FR,0,White,b,78,Y,Y,N,N,0,78,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,11,1,1,1,1,1,1,0,1,1,1,1,1,11
ACUPF17CHI073,81.3,JR,1,White,a. Sci,79,Y,Y,N,N,0,78,1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,9,1,1,0,1,1,1,1,0,1,1,1,0,9
ACUPF17CHI074,72.4,SO,1,White,a. Eng,75,Y,Y,N,N,0,78,1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,9,1,1,1,0,1,1,0,0,1,1,1,1,9
ACUPF17CHI075,95.8,FR,1,Asian,a. Sci,N/A,N,Y,N,N,0,78,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,19,1,1,1,1,1,1,1,1,1,1,1,0,11
ACUPF17CHI076,80.4,SO,0,Hisp,c,78,DK,Y,Y,Y,11-19,87,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,4,1,1,0,1,1,0,1,0,1,1,1,1,9
ACUPF17CHI077,83.9,FR,1,Black,b,79,DK,Y,N,N,0,87,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,17,0,1,1,1,1,1,0,1,1,1,0,1,9
ACUPF17CHI078,88.7,FR,0,White,a. Sci,75,Y,Y,N,N,0,87,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,17,1,1,0,1,1,1,1,1,1,1,1,1,11
ACUPF17CHI079,81.2,FR,1,White,a. Eng,76,N,N,N,N,0,78,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,15,1,1,0,0,0,1,0,1,1,1,1,1,8
ACUPF17CHI080,83.4,FR,1,White,a. Eng,79,DK,Y,N,N,0,78,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,13,1,1,1,0,1,1,1,1,1,1,1,1,11
ACUPF17CHI081,70.1,SR,1,White,a. Eng,79,Y,Y,N,N,0,78,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,12,1,1,1,1,0,0,1,1,1,1,1,1,10
ACUPF17CHI082,68.1,FR,0,Hisp,b,78,N,Y,N,N,0,87,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,6,1,0,0,0,1,0,1,0,0,0,0,0,3
ACUPF17CHI083,88.6,FR,0,White,b,78,Y,Y,N,N,0,87,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,11,1,0,1,1,1,0,1,0,1,1,1,1,9
ACUPF17CHI085,95.5,FR,0,White,b,78,DK,Y,N,N,0,78,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,7,1,0,1,1,1,0,1,0,1,1,1,1,9
ACUPF17CHI086,95.7,FR,1,White,a. Eng,79,DK,Y,N,N,0,87,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,18,1,1,1,1,0,1,1,1,1,1,1,1,11
ACUPF17CHI087,86.0,JR,0,Black,a. Sci,74,DK,Y,N,Y,20-29,78,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,9,1,1,1,1,1,0,1,0,1,1,1,0,9
ACUPF17CHI089,91.5,FR,1,White,b,76,Y,Y,N,N,0,87,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,9,1,1,0,1,1,0,1,0,0,1,1,0,7
ACUPF17CHI090,94.3,FR,1,White,b,76,Y,Y,N,Y,1-10,87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,1,0,1,1,1,1,1,0,0,1,1,1,9
ACUPF17CHI091,83.2,SO,0,White,b,78,Y,Y,Y,N,1-10,78,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,1,15,1,1,1,1,0,0,1,1,1,1,1,0,9
ACUPF17CHI092,88.9,FR,0,White,b,85,Y,Y,N,N,0,78,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1,16,1,1,1,0,1,1,1,0,1,1,1,1,10
ACUPF17CHI093,81.9,SR,0,Black,b,85,N,N,N,N,0,87,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7,1,1,1,1,1,0,1,0,1,1,1,1,10
ACUPF17CHI094,92.4,SO,0,White,b,78,Y,Y,N,N,0,78,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,5,1,1,1,1,1,1,1,1,1,1,1,0,11
ACUPF17CHI095,93.1,FR,1,White,b,75,Y,Y,N,N,0,78,0,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,13,1,1,1,1,1,1,0,1,1,1,1,0,10
ACUPF17CHI096,92.2,FR,0,White,b,77,Y,Y,N,N,0,87,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,5,1,1,1,1,1,0,1,1,1,1,1,1,11
ACUPF17CHI097,86.9,FR,0,White,b,76,DK,Y,N,N,0,87,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,0,0,14,1,1,1,1,1,1,1,1,1,1,1,1,12
ACUPF17CHI098,92.4,SO,1,White,b,79,N,Y,N,N,0,87,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,14,1,1,1,1,1,1,0,1,1,1,1,1,11
ACUPF17CHI099,76.8,FR,1,Hisp,b,79,N,Y,N,N,0,87,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,8,0,0,0,1,1,0,0,0,0,0,0,0,2
ACUPF17CHI100,42.8,FR,0,Black,b,75,N,Y,N,N,0,87,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,1,0,1,1,0,0,0,1,0,0,0,0,4
ACUPF17CHI101,61.3,SO,0,White,b,75,DK,Y,N,N,0,78,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,7,1,1,0,1,1,1,1,0,0,1,1,0,8
ACUPF17CHI102,96.4,FR,1,Hisp,b,78,Y,Y,N,N,0,87,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,18,1,0,1,1,1,1,0,0,1,1,1,0,8
ACUPF17CHI103,84.3,FR,0,White,b,79,Y,Y,N,N,0,78,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,6,1,1,1,1,1,0,1,1,0,1,1,0,9
ACUPF17CHI104,70.7,FR,0,White,b,76,Y,Y,N,N,0,78,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,6,1,0,1,1,0,0,0,0,1,1,1,0,6
ACUPF17CHI105,92.5,FR,1,White,b,79,DK,Y,N,N,0,78,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,14,1,1,1,1,1,0,1,1,1,1,1,0,10
ACUPF17CHI106,71.1,FR,1,Black,a. Eng,79,Y,N,N,N,0,87,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,8,0,1,0,0,0,0,1,0,0,1,1,1,5
ACUPF17CHI107,92.9,FR,1,White,b,75,N,Y,N,N,0,78,0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,14,1,1,1,1,1,1,0,0,1,1,1,0,9
ACUPF17CHI108,81.0,SO,0,White,b,76,Y,Y,N,N,0,87,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,6,0,0,1,1,1,0,0,1,1,1,1,0,7
ACUPF17CHI109,95.3,FR,1,Am Indian,b,76,Y,Y,N,N,0,78,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,7,1,1,1,1,1,0,1,1,1,1,1,1,11
ACUPF17CHI111,92.0,SO,1,White,b,75,Y,Y,N,N,0,87,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,4,1,0,1,1,1,0,1,0,1,1,1,1,9
TAMSAF17CHI028,65.0,SO,1,Hisp,b,78,N,N,N,N,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,2
TAMSAF17CHI029,66.0,SO,0,Hisp,b,67,N,N,N,N,0,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,0,3
TAMSAF17CHI031,34.0,FR,0,Hisp,c,78,N,Y,N,N,0,87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TAMSAF17CHI032,67.0,JR,0,White,a. Sci,78,Y,Y,N,Y,30-39,87,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,0,0,1,1,0,1,0,0,5
