"school","course","class","gender","ethnic","major","zip","grand","parent","emp_on","emp_off","hrs","ver","MQ1","MQ2","MQ3","MQ4","MQ5","MQ6","MQ7","MQ8","MQ9","MQ10","MQ11","MQ12","MQ13","MQ14","MQ15","MQ16","MQ17","MQ18","MQ19","MQ20","must","Q1A","Q1C","Q2A","Q2C","Q3A","Q3C","Q4A","Q4C","Q5A","Q5C","Q6A","Q6C","comm","pass","alg","conc"
"ACUP",77.5,"FR","0","White","med","75","Y","Y","N","N","0","87",1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,0,0,13,1,1,1,1,1,0,1,0,1,0,1,1,9,1,6,3
"ACUP",45.8,"FR","1","Hisp","med","78","DK","DK","Y","N","11-19","87",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,4,1,1,1,1,0,0,1,0,1,1,1,0,8,0,5,3
"ACUP",85.1,"SO","0","White","med","75","Y","Y","N","N","0","78",1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,10,1,1,1,0,1,0,1,0,1,1,0,0,7,1,5,2
"ACUP",70.2,"SO","0","Hisp","med","78","DK","Y","N","N","0","87",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,1,3,1,1,2
"ACUP",72.4,"SO","1","White","other","76","N","N","N","N","0","78",0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,13,1,1,1,1,0,0,1,1,1,1,1,1,10,1,5,5
"ACUP",76.8,"SO","1","White","stem","77","Y","Y","N","N","0","78",0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,11,1,1,0,1,1,0,1,1,1,0,1,1,9,1,5,4
"ACUP",94.5,"FR","0","White","med","78","Y","Y","N","N","0","78",1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,1,11,1,1,1,1,1,1,0,1,1,1,1,1,11,1,5,6
"ACUP",81.3,"JR","1","White","stem","79","Y","Y","N","N","0","78",1,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,1,0,0,9,1,1,0,1,1,1,1,0,1,1,1,0,9,1,5,4
"ACUP",72.4,"SO","1","White","stem","75","Y","Y","N","N","0","78",1,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,9,1,1,1,0,1,1,0,0,1,1,1,1,9,1,5,4
"ACUP",95.8,"FR","1","Asian","stem","N/A","N","Y","N","N","0","78",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,19,1,1,1,1,1,1,1,1,1,1,1,0,11,1,6,5
"ACUP",80.4,"SO","0","Hisp","other","78","DK","Y","Y","Y","11-19","87",1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,4,1,1,0,1,1,0,1,0,1,1,1,1,9,1,5,4
"ACUP",83.9,"FR","1","Black","med","79","DK","Y","N","N","0","87",1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,17,0,1,1,1,1,1,0,1,1,1,0,1,9,1,3,6
"ACUP",88.7,"FR","0","White","stem","75","Y","Y","N","N","0","87",1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,17,1,1,0,1,1,1,1,1,1,1,1,1,11,1,5,6
"ACUP",81.2,"FR","1","White","stem","76","N","N","N","N","0","78",1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,15,1,1,0,0,0,1,0,1,1,1,1,1,8,1,3,5
"ACUP",83.4,"FR","1","White","stem","79","DK","Y","N","N","0","78",1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,13,1,1,1,0,1,1,1,1,1,1,1,1,11,1,6,5
"ACUP",70.1,"SR","1","White","stem","79","Y","Y","N","N","0","78",0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,0,12,1,1,1,1,0,0,1,1,1,1,1,1,10,1,5,5
"ACUP",68.1,"FR","0","Hisp","med","78","N","Y","N","N","0","87",1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,6,1,0,0,0,1,0,1,0,0,0,0,0,3,0,3,0
"ACUP",88.6,"FR","0","White","med","78","Y","Y","N","N","0","87",1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,11,1,0,1,1,1,0,1,0,1,1,1,1,9,1,6,3
"ACUP",95.5,"FR","0","White","med","78","DK","Y","N","N","0","78",0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,7,1,0,1,1,1,0,1,0,1,1,1,1,9,1,6,3
